Year,Total Deaths
2003,3150925.737142857
2004,2982993.9542857143
2005,2891974.234285714
2006,2738391.7314285715
2007,2601075.902857143
2008,2529208.6914285715
2009,2413449.9085714286
2010,2396627.8914285717
2011,2259239.9657142856
2012,2212559.9885714287
2013,2206277.794285714
2014,2137405.537142857
2015,2137610.137142857
2016,2101376.4514285713
2017,2100384.6285714284
2018,2078179.0
2019,2058895.0
2020,2090982.0585365854
2021,2133651.9707317073
2022,2043789.3219512196
